size,time,timePerSize
1000,1374630.6,1374.6306000000002
2000,1024801.0,512.4005
3000,1716000.3,572.0001
4000,2356728.7,589.182175
5000,3379341.4,675.86828
6000,4522040.9,753.6734833333334
7000,5740701.4,820.1002000000001
8000,7209855.3,901.2319125
9000,8663182.0,962.5757777777778
10000,1.09684922E7,1096.8492199999998
11000,1.42081642E7,1291.651290909091
12000,1.60296273E7,1335.802275
13000,1.92053361E7,1477.3335461538463
14000,2.27449147E7,1624.6367642857142
15000,2.25861361E7,1505.7424066666667
16000,2.27867427E7,1424.17141875
17000,2.35787004E7,1386.9823764705882
18000,2.37773008E7,1320.9611555555557
19000,2.56179092E7,1348.3110105263158
20000,2.72374536E7,1361.8726800000002
21000,2.90098684E7,1381.4223047619048
22000,3.07435184E7,1397.4326545454544
23000,3.27625977E7,1424.4607695652173
24000,3.43728062E7,1432.2002583333335
25000,4.04526162E7,1618.1046480000002
26000,4.19231556E7,1612.4290615384616
27000,4.66879586E7,1729.183651851852
28000,4.13657546E7,1477.3483785714286
29000,4.34006966E7,1496.5757448275863
30000,4.51313929E7,1504.3797633333334
31000,4.66545547E7,1504.985635483871
32000,4.87041567E7,1522.004896875
33000,5.00244149E7,1515.8913606060605
34000,5.17139033E7,1520.997155882353
35000,5.35150908E7,1529.0025942857142
36000,6.5213364E7,1811.4823333333334
37000,6.96824909E7,1883.310564864865
38000,7.17429239E7,1887.9716815789475
39000,7.39781073E7,1896.874546153846
40000,7.66972832E7,1917.43208
41000,7.75345335E7,1891.0861829268292
42000,7.93937404E7,1890.3271523809526
43000,8.28938611E7,1927.764211627907
44000,8.46402749E7,1923.6426113636364
45000,8.65421119E7,1923.1580422222223
46000,8.86217992E7,1926.5608521739132
47000,9.01416786E7,1917.9080553191488
48000,9.26718453E7,1930.66344375
49000,9.44087408E7,1926.7089959183672
50000,9.74917136E7,1949.8342719999998
51000,9.88680951E7,1938.5901
52000,1.005210432E8,1933.0969846153846
53000,1.022470354E8,1929.1893471698115
54000,1.02189271E8,1892.3939074074074
55000,1.051665621E8,1912.1193109090907
56000,9.79396037E7,1748.9214946428572
57000,9.44112938E7,1656.3384877192982
58000,9.10051122E7,1569.0536586206897
59000,9.31640429E7,1579.0515745762714
60000,9.40017306E7,1566.69551
61000,9.6465527E7,1581.402081967213
62000,9.8540729E7,1589.3665967741936
63000,9.86485987E7,1565.850773015873
64000,9.98265984E7,1559.7906
65000,1.02616703E8,1578.7185076923076
66000,1.043921083E8,1581.6986106060606
67000,1.065640578E8,1590.5083253731343
68000,1.083043083E8,1592.7104161764705
69000,1.092991698E8,1584.0459391304348
70000,1.101955335E8,1574.2219071428572
71000,1.138316041E8,1603.2620295774648
72000,1.269101971E8,1762.6416263888889
73000,1.391465074E8,1906.1165397260274
74000,1.454358943E8,1965.3499229729732
75000,1.461553554E8,1948.738072
76000,1.492386198E8,1963.6660500000003
77000,1.493974343E8,1940.2264194805196
78000,1.518018988E8,1946.1781897435899
79000,1.527348389E8,1933.3523911392406
80000,1.542556662E8,1928.1958275
81000,1.570348674E8,1938.7020666666667
82000,1.445929552E8,1763.3287219512194
83000,1.342908646E8,1617.9622240963854
84000,1.340122187E8,1595.383555952381
85000,1.361237782E8,1601.4562141176468
86000,1.379682523E8,1604.2820034883723
87000,1.575046014E8,1810.3977172413793
88000,1.727415414E8,1962.9720613636364
89000,1.740103442E8,1955.172406741573
90000,1.7565651E8,1951.739
91000,1.787620557E8,1964.4181945054943
92000,1.805121888E8,1962.0890086956524
93000,1.815516862E8,1952.1686688172042
94000,1.53007431E8,1627.7386276595744
95000,1.510042883E8,1589.5188242105264
96000,1.548790728E8,1613.323675
97000,1.555733354E8,1603.8488185567012
98000,1.576630876E8,1608.8070163265306
99000,1.591736314E8,1607.8144585858586
100000,1.5937318E8,1593.7318
